Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-04-21,148.8800048828125,148.9499969482422,146.10000610351562,147.6699981689453,26049100,362.1551460624454,363.8121077971333,355.01825440362086,358.4619140625,20807300,193.01688474432112,193.54618940120912,189.56140949031536,192.9070281982422,46742500
2025-04-22,148.88999938964844,152.19000244140625,148.5399932861328,151.47000122070312,26971800,362.7141283475077,367.09606804173376,359.20055908423666,366.1478271484375,19485000,195.8631544964882,201.32599215129426,195.71335703344474,199.47842407226562,52976400
2025-04-23,155.61000061035156,157.52999877929688,153.80999755859375,155.35000610351562,31128800,375.3708716590499,379.6929540391626,372.33643389707953,373.7039489746094,20545500,205.7302222309065,207.7276030292648,202.5344160012944,204.33206176757812,52929200
2025-04-24,156.14999389648438,159.58999633789062,155.7899932861328,159.27999877929688,45894000,375.01155205300716,387.7381880213899,374.5024768665421,386.59027099609375,22232300,204.62166872266098,208.5565112075726,202.67422555441442,208.09710693359375,47311000
2025-04-25,165.07000732421875,166.10000610351562,161.0399932861328,161.9600067138672,56034000,386.29083932956814,391.44138750936105,383.8952433175299,391.1319580078125,18973200,206.0997277622984,209.47530610539675,205.92995222724628,209.00592041015625,38222300
2025-04-28,162.42999267578125,163.14999389648438,158.60000610351562,160.61000061035156,29745800,391.241728610284,392.0202980494585,385.9315006090283,390.4432067871094,16579400,209.72497582911666,211.2230113707532,207.1883090170199,209.8647918701172,38743100
2025-04-29,160.32000732421875,160.74000549316406,157.52000427246094,160.16000366210938,26809000,390.5829324517716,394.3759872470841,389.66463540586307,393.31793212890625,14974000,208.41669143858087,211.96204522644123,208.09710321217068,210.9333953857422,36827600
2025-04-30,157.97999572753906,159.27000427246094,155.39999389648438,158.8000030517578,34981100,389.58477271143016,395.93313400867555,383.73552563819743,394.53570556640625,36461100,209.02590396975114,213.30029766677714,206.399343338795,212.22171020507812,52286500
2025-05-01,160.4499969482422,161.9499969482422,158.91000366210938,161.3000030517578,30203200,430.3199808366381,436.1892106723326,424.12136912560175,424.6204528808594,58938100,208.80618155790114,214.2790004444518,208.62640936955898,213.04063415527344,57365700
2025-05-02,163.41000366210938,164.97000122070312,161.8699951171875,164.02999877929688,25715000,430.948839257634,438.63474141621873,429.20204608174254,434.48236083984375,30757400,205.82009105417706,206.71892151455646,201.89524528415058,205.08106994628906,101010600
2025-05-05,163.0,165.38999938964844,162.72000122070312,164.2100067138672,21341800,432.07675654489867,438.6946118778074,431.3181395047298,435.3707275390625,20136100,202.83402512431957,203.83271551835597,197.9504297070337,198.62953186035156,69018500
2025-05-06,162.1699981689453,164.8000030517578,161.19000244140625,163.22999572753906,21277200,431.408009380462,436.92787448428356,430.3798980651205,432.5159606933594,15104200,197.9504203457911,200.38721199140494,196.7619763948813,198.25001525878906,51216500
2025-05-07,164.0800018310547,165.0,147.83999633789062,151.3800048828125,127490100,433.04500054847074,437.3171563878889,430.319992206568,432.555908203125,23295300,198.90915494694545,199.1788056079939,192.99690991055434,195.99298095703125,68536700
2025-05-08,155.0,155.92999267578125,152.89999389648438,154.27999877929688,57498700,437.12748451655574,442.85698666150637,434.86165526525525,437.3670654296875,23491300,197.46106353953903,199.78801395815432,194.42503624466005,197.2313690185547,50478900
2025-05-09,154.1699981689453,155.0500030517578,152.1999969482422,152.75,32435300,439.19371771814804,439.93235195021686,435.08127232610667,437.9260559082031,15324200,198.739389980464,200.2773664943336,197.28129528859796,198.27000427246094,36453900
2025-05-12,157.49000549316406,159.10000610351562,156.25,158.4600067138672,44138800,445.12281367736733,448.5465208630377,438.9740982732109,448.4367370605469,22821900,210.97000122070312,211.27000427246094,206.75,210.7899932861328,63775800
2025-05-13,158.7899932861328,160.57000732421875,156.16000366210938,159.52999877929688,42382100,446.9594623818115,449.8441812103938,444.54388351816056,448.3169860839844,23618800,210.42999267578125,213.39999389648438,209.0,212.92999267578125,51909300
2025-05-14,159.9600067138672,167.0,159.61000061035156,165.3699951171875,48755900,447.3187935842875,453.0682176126866,447.3187935842875,452.1099853515625,19902800,212.42999267578125,213.94000244140625,210.5800018310547,212.3300018310547,49325800
2025-05-15,165.83999633789062,166.2100067138672,162.3699951171875,163.9600067138672,33146700,450.7699890136719,456.19000244140625,450.42999267578125,453.1300048828125,21992300,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,45029500
2025-05-16,167.72999572753906,169.35000610351562,165.6199951171875,166.19000244140625,42650100,452.04998779296875,454.3599853515625,448.7300109863281,454.2699890136719,23803400,212.36000061035156,212.57000732421875,209.77000427246094,211.25999450683594,53659100
2025-05-19,164.50999450683594,166.07000732421875,164.22000122070312,165.80999755859375,21983875,450.875,459.5849914550781,450.875,458.6600036621094,12664370,208.02499389648438,209.47999572753906,204.25999450683594,208.52999877929688,30898930
